transaction_id,timestamp,email,ip_address,device_id,card_number,amount,is_prepaid_card
tx0000,2025-03-31 23:32:45,jessica13@yahoo.com,40.148.85.10,dev730,4427********1749,148.48,False
tx0001,2025-03-26 12:05:15,tonyawright@outlook.com,219.30.232.69,dev845,4939********4523,317.67,False
tx0002,2025-04-16 13:54:29,belldustin@outlook.com,109.38.75.241,dev406,4444********9947,267.07,False
tx0003,2025-04-09 12:25:26,crossgabriel@gmail.com,215.142.67.41,dev156,4260********7193,268.07,True
tx0004,2025-03-31 04:41:17,williammckee@gmail.com,213.96.152.202,dev519,4573********4849,328.41,True
tx0005,2025-04-02 12:34:38,kyle46@tempmail.com,104.17.159.72,dev882,4138********5616,52.25,True
tx0006,2025-04-03 23:55:24,xdunn@outlook.com,59.54.30.98,dev250,4548********4873,345.92,False
tx0007,2025-04-07 06:21:17,osanders@yahoo.com,121.166.169.30,dev228,4565********3927,131.81,False
tx0008,2025-04-03 09:47:34,jessica37@mailinator.com,26.215.216.179,dev816,4819********8511,31.89,False
tx0009,2025-04-01 04:02:08,calderondanielle@outlook.com,135.102.139.194,dev200,4911********6578,187.6,False
tx0010,2025-03-31 23:27:00,danielgood@mailinator.com,197.54.49.149,dev739,4331********7874,9.81,False
tx0011,2025-04-03 04:25:29,lawrence86@dispostable.com,134.75.167.236,dev795,4145********5585,65.2,False
tx0012,2025-03-25 06:35:59,richard61@outlook.com,23.31.45.196,dev344,4914********3260,348.74,True
tx0013,2025-04-14 23:30:01,elopez@yahoo.com,52.165.149.28,dev724,4411********7625,214.58,False
tx0014,2025-03-24 06:32:39,nicole93@yahoo.com,118.26.40.160,dev143,4033********9148,322.16,False
tx0015,2025-04-10 16:35:49,connermichael@gmail.com,137.210.89.203,dev106,4801********6328,310.83,False
tx0016,2025-04-11 06:15:06,rmccormick@outlook.com,181.144.223.21,dev293,4145********8008,393.16,True
tx0017,2025-03-23 09:31:56,jeffreywhitaker@gmail.com,49.174.168.211,dev917,4845********8704,295.63,False
tx0018,2025-04-11 14:27:00,joshuakrueger@gmail.com,193.142.16.3,dev602,4500********8133,243.67,False
tx0019,2025-03-23 12:15:20,james57@gmail.com,185.18.164.118,dev396,4572********2212,486.99,False
tx0020,2025-04-05 15:54:02,jack41@mailinator.com,209.224.21.105,dev888,4857********9808,24.48,True
tx0021,2025-04-04 14:58:43,michelemoore@yahoo.com,37.18.50.164,dev924,4008********1811,322.06,False
tx0022,2025-03-30 06:56:06,vgarrison@dispostable.com,182.155.230.58,dev120,4376********3949,455.74,True
tx0023,2025-04-08 04:24:42,boydwhitney@gmail.com,184.54.129.247,dev664,4696********4463,384.82,False
tx0024,2025-03-21 11:29:35,kenneth98@outlook.com,131.224.206.81,dev304,4671********4863,106.86,True
tx0025,2025-04-17 10:37:39,patrickmoore@yahoo.com,195.215.60.203,dev227,4796********6730,291.81,True
tx0026,2025-03-31 17:29:24,fanderson@outlook.com,144.90.183.199,dev826,4280********4055,488.64,False
tx0027,2025-04-02 11:57:48,upham@yahoo.com,159.212.234.125,dev903,4325********8943,425.73,False
tx0028,2025-03-29 05:28:50,ianashley@outlook.com,216.136.108.208,dev152,4188********8476,341.35,False
tx0029,2025-03-27 04:08:16,josephroberts@yahoo.com,98.92.55.90,dev681,4882********5826,439.05,False
